stp_id,base_price_per_kld,peak_incentive,off_peak_incentive,peak_start,peak_end,off_peak_start,off_peak_end,sustainability_credit,reliability_bonus
PSTP001,65,8,5,06:00 AM,10:00 AM,10:00 PM,04:00 AM,2,1
PSTP002,62,7,4,06:00 AM,10:00 AM,10:00 PM,04:00 AM,1,1
PSTP003,68,9,5,07:00 AM,11:00 AM,09:00 PM,04:00 AM,2,2
PSTP004,60,6,4,06:00 AM,10:00 AM,10:00 PM,05:00 AM,1,1
PSTP005,72,10,5,07:00 AM,11:00 AM,09:00 PM,04:00 AM,3,2
PSTP006,65,8,5,06:00 AM,10:00 AM,10:00 PM,04:00 AM,2,1
PSTP007,70,9,6,07:00 AM,11:00 AM,10:00 PM,05:00 AM,2,2
PSTP008,78,11,6,06:00 AM,10:00 AM,10:00 PM,04:00 AM,3,2
PSTP009,82,12,7,07:00 AM,11:00 AM,09:00 PM,04:00 AM,3,3
PSTP010,75,10,6,06:00 AM,10:00 AM,10:00 PM,05:00 AM,3,2
PSTP011,68,9,5,06:00 AM,10:00 AM,10:00 PM,04:00 AM,2,2
PSTP012,80,12,7,07:00 AM,11:00 AM,09:00 PM,04:00 AM,3,3
PSTP013,66,8,5,06:00 AM,10:00 AM,10:00 PM,04:00 AM,2,1
PSTP014,74,10,6,07:00 AM,11:00 AM,09:00 PM,04:00 AM,3,2
