date,stp_unit_id,demand_kld,temperature,rainfall,capacity_kld
2023-01-01,PSTP001,442.45,30.66,0,600.0
2023-01-02,PSTP001,455.56,29.27,0,600.0
2023-01-03,PSTP001,456.63,29.17,0,600.0
2023-01-04,PSTP001,457.71,26.96,0,600.0
2023-01-05,PSTP001,459.94,29.66,0,600.0
2023-01-06,PSTP001,467.54,33.55,0,600.0
2023-01-07,PSTP001,461.77,35.84,0,600.0
2023-01-08,PSTP001,452.77,28.52,0,600.0
2023-01-09,PSTP001,466.73,29.73,0,600.0
2023-01-10,PSTP001,480.89,29.82,0,600.0
2023-01-11,PSTP001,474.69,30.06,10,600.0
2023-01-12,PSTP001,473.09,32.88,0,600.0
2023-01-13,PSTP001,488.23,36.89,0,600.0
2023-01-14,PSTP001,473.69,32.91,0,600.0
2023-01-15,PSTP001,452.8,29.51,0,600.0
2023-01-16,PSTP001,470.07,30.71,0,600.0
2023-01-17,PSTP001,472.63,29.47,5,600.0
2023-01-18,PSTP001,480.99,30.48,0,600.0
2023-01-19,PSTP001,490.31,33.09,0,600.0
2023-01-20,PSTP001,484.98,30.35,5,600.0
2023-01-21,PSTP001,475.29,29.11,0,600.0
2023-01-22,PSTP001,457.94,30.01,0,600.0
2023-01-23,PSTP001,474.07,33.98,0,600.0
2023-01-24,PSTP001,479.19,33.13,0,600.0
2023-01-25,PSTP001,489.9,35.49,0,600.0
2023-01-26,PSTP001,492.81,27.36,0,600.0
2023-01-27,PSTP001,498.21,29.85,0,600.0
2023-01-28,PSTP001,484.13,32.34,0,600.0
2023-01-29,PSTP001,476.42,31.29,0,600.0
2023-01-30,PSTP001,475.1,31.35,10,600.0
2023-01-31,PSTP001,488.61,34.05,5,600.0
2023-02-01,PSTP001,492.62,32.08,5,600.0
2023-02-02,PSTP001,496.94,35.97,5,600.0
2023-02-03,PSTP001,497.21,31.91,0,600.0
2023-02-04,PSTP001,481.45,35.95,5,600.0
2023-02-05,PSTP001,472.81,33.5,0,600.0
2023-02-06,PSTP001,483.17,32.78,0,600.0
2023-02-07,PSTP001,494.22,33.33,0,600.0
2023-02-08,PSTP001,492.59,31.85,20,600.0
2023-02-09,PSTP001,495.68,29.98,0,600.0
2023-02-10,PSTP001,499.32,34.1,0,600.0
2023-02-11,PSTP001,488.52,33.59,0,600.0
2023-02-12,PSTP001,480.98,34.73,0,600.0
2023-02-13,PSTP001,498.58,36.41,0,600.0
2023-02-14,PSTP001,510.25,32.59,0,600.0
2023-02-15,PSTP001,524.7,35.44,0,600.0
2023-02-16,PSTP001,525.88,33.35,0,600.0
2023-02-17,PSTP001,520.49,34.61,0,600.0
2023-02-18,PSTP001,500.82,34.5,0,600.0
2023-02-19,PSTP001,490.96,32.43,0,600.0
2023-02-20,PSTP001,501.23,35.86,0,600.0
2023-02-21,PSTP001,498.24,33.12,10,600.0
2023-02-22,PSTP001,508.48,34.03,0,600.0
2023-02-23,PSTP001,520.31,35.26,0,600.0
2023-02-24,PSTP001,516.02,34.22,5,600.0
2023-02-25,PSTP001,505.79,35.45,0,600.0
2023-02-26,PSTP001,489.29,37.59,5,600.0
2023-02-27,PSTP001,503.73,35.54,0,600.0
2023-02-28,PSTP001,515.89,35.55,0,600.0
2023-03-01,PSTP001,515.96,35.74,0,600.0
2023-03-02,PSTP001,513.37,35.55,0,600.0
2023-03-03,PSTP001,519.26,32.87,0,600.0
2023-03-04,PSTP001,497.57,33.8,0,600.0
2023-03-05,PSTP001,494.41,37.28,0,600.0
2023-03-06,PSTP001,505.36,33.66,0,600.0
2023-03-07,PSTP001,494.13,33.66,20,600.0
2023-03-08,PSTP001,506.55,37.24,0,600.0
2023-03-09,PSTP001,522.09,35.55,0,600.0
2023-03-10,PSTP001,522.08,32.75,0,600.0
2023-03-11,PSTP001,502.2,33.46,10,600.0
2023-03-12,PSTP001,492.2,35.39,10,600.0
2023-03-13,PSTP001,492.93,33.98,5,600.0
2023-03-14,PSTP001,501.99,33.85,0,600.0
2023-03-15,PSTP001,514.62,36.08,0,600.0
2023-03-16,PSTP001,503.12,36.23,20,600.0
2023-03-17,PSTP001,503.97,35.91,5,600.0
2023-03-18,PSTP001,503.42,37.57,0,600.0
2023-03-19,PSTP001,486.03,33.09,5,600.0
2023-03-20,PSTP001,497.43,36.48,10,600.0
2023-03-21,PSTP001,530.91,36.92,0,600.0
2023-03-22,PSTP001,539.25,38.57,0,600.0
2023-03-23,PSTP001,540.62,35.29,0,600.0
2023-03-24,PSTP001,533.99,36.27,0,600.0
2023-03-25,PSTP001,510.39,40.58,0,600.0
2023-03-26,PSTP001,500.88,35.14,0,600.0
2023-03-27,PSTP001,517.31,35.03,0,600.0
2023-03-28,PSTP001,526.62,39.1,0,600.0
2023-03-29,PSTP001,529.09,34.53,0,600.0
2023-03-30,PSTP001,544.73,40.77,0,600.0
2023-03-31,PSTP001,538.44,31.95,0,600.0
2023-04-01,PSTP001,510.05,35.11,0,600.0
2023-04-02,PSTP001,506.34,37.01,0,600.0
2023-04-03,PSTP001,513.85,35.33,0,600.0
2023-04-04,PSTP001,526.21,39.52,0,600.0
2023-04-05,PSTP001,538.26,36.74,0,600.0
2023-04-06,PSTP001,531.57,32.94,0,600.0
2023-04-07,PSTP001,541.75,35.5,0,600.0
2023-04-08,PSTP001,510.94,29.48,0,600.0
2023-04-09,PSTP001,491.43,31.96,0,600.0
2023-04-10,PSTP001,506.07,35.05,0,600.0
2023-04-11,PSTP001,524.55,36.03,5,600.0
2023-04-12,PSTP001,528.24,33.93,0,600.0
2023-04-13,PSTP001,529.85,35.47,0,600.0
2023-04-14,PSTP001,534.51,36.08,0,600.0
2023-04-15,PSTP001,526.39,34.6,0,600.0
2023-04-16,PSTP001,507.63,35.5,10,600.0
2023-04-17,PSTP001,516.36,34.81,0,600.0
2023-04-18,PSTP001,525.09,34.57,0,600.0
2023-04-19,PSTP001,533.08,37.63,5,600.0
2023-04-20,PSTP001,537.06,37.32,0,600.0
2023-04-21,PSTP001,528.64,36.76,5,600.0
2023-04-22,PSTP001,512.41,35.58,0,600.0
2023-04-23,PSTP001,500.02,34.25,10,600.0
2023-04-24,PSTP001,515.66,35.11,0,600.0
2023-04-25,PSTP001,514.21,34.69,10,600.0
2023-04-26,PSTP001,521.64,38.07,0,600.0
2023-04-27,PSTP001,527.94,34.94,0,600.0
2023-04-28,PSTP001,520.92,36.02,10,600.0
2023-04-29,PSTP001,514.42,39.15,0,600.0
2023-04-30,PSTP001,493.51,33.27,0,600.0
2023-05-01,PSTP001,509.74,36.77,0,600.0
2023-05-02,PSTP001,510.57,35.15,0,600.0
2023-05-03,PSTP001,517.9,30.95,5,600.0
2023-05-04,PSTP001,517.07,33.42,0,600.0
2023-05-05,PSTP001,527.59,36.24,0,600.0
2023-05-06,PSTP001,506.66,35.45,0,600.0
2023-05-07,PSTP001,500.56,36.02,0,600.0
2023-05-08,PSTP001,494.88,31.94,5,600.0
2023-05-09,PSTP001,510.08,33.45,0,600.0
2023-05-10,PSTP001,522.02,35.34,0,600.0
2023-05-11,PSTP001,520.75,34.04,0,600.0
2023-05-12,PSTP001,516.48,35.23,0,600.0
2023-05-13,PSTP001,501.46,35.5,0,600.0
2023-05-14,PSTP001,489.22,35.83,0,600.0
2023-05-15,PSTP001,490.94,34.52,20,600.0
2023-05-16,PSTP001,489.34,34.5,10,600.0
2023-05-17,PSTP001,504.57,38.79,0,600.0
2023-05-18,PSTP001,507.86,38.47,0,600.0
2023-05-19,PSTP001,514.93,33.86,0,600.0
2023-05-20,PSTP001,493.09,32.33,0,600.0
2023-05-21,PSTP001,475.23,36.0,0,600.0
2023-05-22,PSTP001,498.34,34.54,0,600.0
2023-05-23,PSTP001,508.74,34.92,0,600.0
2023-05-24,PSTP001,509.99,31.05,10,600.0
2023-05-25,PSTP001,504.8,33.46,5,600.0
2023-05-26,PSTP001,503.72,30.1,10,600.0
2023-05-27,PSTP001,490.24,33.99,0,600.0
2023-05-28,PSTP001,473.74,30.17,0,600.0
2023-05-29,PSTP001,473.87,33.79,20,600.0
2023-05-30,PSTP001,484.9,33.19,0,600.0
2023-05-31,PSTP001,482.61,32.47,0,600.0
2023-06-01,PSTP001,492.57,33.25,0,600.0
2023-06-02,PSTP001,505.66,35.04,0,600.0
2023-06-03,PSTP001,484.19,33.49,0,600.0
2023-06-04,PSTP001,478.69,32.97,5,600.0
2023-06-05,PSTP001,495.16,36.76,5,600.0
2023-06-06,PSTP001,493.06,30.51,0,600.0
2023-06-07,PSTP001,502.69,33.75,0,600.0
2023-06-08,PSTP001,497.87,31.49,0,600.0
2023-06-09,PSTP001,489.5,34.38,0,600.0
2023-06-10,PSTP001,475.56,33.94,0,600.0
2023-06-11,PSTP001,468.2,35.08,0,600.0
2023-06-12,PSTP001,473.55,33.94,10,600.0
2023-06-13,PSTP001,476.58,28.47,0,600.0
2023-06-14,PSTP001,483.41,31.77,0,600.0
2023-06-15,PSTP001,486.73,29.07,0,600.0
2023-06-16,PSTP001,487.92,29.38,0,600.0
2023-06-17,PSTP001,476.55,31.36,0,600.0
2023-06-18,PSTP001,460.79,30.49,0,600.0
2023-06-19,PSTP001,464.24,30.22,0,600.0
2023-06-20,PSTP001,467.78,28.31,0,600.0
2023-06-21,PSTP001,476.48,35.01,0,600.0
2023-06-22,PSTP001,485.49,32.01,0,600.0
2023-06-23,PSTP001,479.43,30.65,5,600.0
2023-06-24,PSTP001,465.76,29.3,0,600.0
2023-06-25,PSTP001,442.2,30.12,0,600.0
2023-06-26,PSTP001,442.15,29.31,0,600.0
2023-06-27,PSTP001,456.77,31.62,0,600.0
2023-06-28,PSTP001,462.19,28.42,0,600.0
2023-06-29,PSTP001,464.97,27.05,0,600.0
2023-06-30,PSTP001,467.39,29.78,0,600.0
2023-07-01,PSTP001,447.09,28.76,0,600.0
2023-07-02,PSTP001,445.21,30.38,0,600.0
2023-07-03,PSTP001,461.71,29.83,0,600.0
2023-07-04,PSTP001,473.45,34.49,0,600.0
2023-07-05,PSTP001,468.97,27.56,0,600.0
2023-07-06,PSTP001,463.74,32.33,0,600.0
2023-07-07,PSTP001,465.28,26.64,0,600.0
2023-07-08,PSTP001,446.05,28.41,0,600.0
2023-07-09,PSTP001,431.79,28.04,0,600.0
2023-07-10,PSTP001,430.72,24.12,20,600.0
2023-07-11,PSTP001,430.63,28.55,10,600.0
2023-07-12,PSTP001,443.06,29.4,0,600.0
2023-07-13,PSTP001,438.72,29.82,10,600.0
2023-07-14,PSTP001,457.46,32.81,0,600.0
2023-07-15,PSTP001,444.65,27.29,0,600.0
2023-07-16,PSTP001,420.07,29.08,0,600.0
2023-07-17,PSTP001,428.3,28.94,0,600.0
2023-07-18,PSTP001,437.23,26.04,0,600.0
2023-07-19,PSTP001,442.3,26.92,0,600.0
2023-07-20,PSTP001,449.05,26.92,0,600.0
2023-07-21,PSTP001,458.41,29.08,0,600.0
2023-07-22,PSTP001,427.99,24.39,10,600.0
2023-07-23,PSTP001,413.07,28.57,10,600.0
2023-07-24,PSTP001,431.77,28.71,5,600.0
2023-07-25,PSTP001,435.86,28.31,0,600.0
2023-07-26,PSTP001,434.79,26.91,5,600.0
2023-07-27,PSTP001,450.07,28.03,0,600.0
2023-07-28,PSTP001,450.07,26.82,5,600.0
2023-07-29,PSTP001,425.42,23.19,0,600.0
2023-07-30,PSTP001,414.27,29.28,0,600.0
2023-07-31,PSTP001,423.53,27.74,0,600.0
2023-08-01,PSTP001,431.74,28.78,0,600.0
2023-08-02,PSTP001,438.62,23.95,0,600.0
2023-08-03,PSTP001,446.36,27.83,0,600.0
2023-08-04,PSTP001,445.37,27.09,0,600.0
2023-08-05,PSTP001,422.74,24.46,0,600.0
2023-08-06,PSTP001,411.13,26.7,0,600.0
2023-08-07,PSTP001,421.02,25.78,5,600.0
2023-08-08,PSTP001,420.64,25.85,0,600.0
2023-08-09,PSTP001,422.1,25.45,0,600.0
2023-08-10,PSTP001,434.68,27.97,0,600.0
2023-08-11,PSTP001,433.21,22.88,0,600.0
2023-08-12,PSTP001,424.18,22.51,0,600.0
2023-08-13,PSTP001,426.73,26.35,0,600.0
2023-08-14,PSTP001,432.18,26.13,0,600.0
2023-08-15,PSTP001,434.14,26.27,0,600.0
2023-08-16,PSTP001,442.37,29.53,0,600.0
2023-08-17,PSTP001,432.91,26.06,10,600.0
2023-08-18,PSTP001,418.22,23.64,20,600.0
2023-08-19,PSTP001,413.6,30.63,0,600.0
2023-08-20,PSTP001,399.31,25.17,5,600.0
2023-08-21,PSTP001,392.33,27.12,10,600.0
2023-08-22,PSTP001,395.25,22.77,0,600.0
2023-08-23,PSTP001,402.01,22.28,0,600.0
2023-08-24,PSTP001,408.0,24.73,0,600.0
2023-08-25,PSTP001,413.83,26.77,0,600.0
2023-08-26,PSTP001,411.54,28.8,0,600.0
2023-08-27,PSTP001,397.98,23.01,10,600.0
2023-08-28,PSTP001,400.17,24.45,0,600.0
2023-08-29,PSTP001,408.4,24.93,0,600.0
2023-08-30,PSTP001,412.64,24.9,0,600.0
2023-08-31,PSTP001,415.95,24.59,0,600.0
2023-09-01,PSTP001,414.41,24.7,0,600.0
2023-09-02,PSTP001,390.35,27.5,0,600.0
2023-09-03,PSTP001,377.43,27.16,0,600.0
2023-09-04,PSTP001,385.46,25.2,10,600.0
2023-09-05,PSTP001,390.7,21.76,0,600.0
2023-09-06,PSTP001,399.19,23.81,0,600.0
2023-09-07,PSTP001,413.46,26.37,0,600.0
2023-09-08,PSTP001,409.76,23.05,0,600.0
2023-09-09,PSTP001,400.28,23.37,0,600.0
2023-09-10,PSTP001,390.48,23.68,0,600.0
2023-09-11,PSTP001,399.95,25.77,5,600.0
2023-09-12,PSTP001,402.46,27.6,0,600.0
2023-09-13,PSTP001,406.09,25.46,0,600.0
2023-09-14,PSTP001,413.26,20.91,5,600.0
2023-09-15,PSTP001,418.38,23.17,0,600.0
2023-09-16,PSTP001,395.92,26.82,0,600.0
2023-09-17,PSTP001,396.12,21.61,0,600.0
2023-09-18,PSTP001,391.66,20.64,10,600.0
2023-09-19,PSTP001,397.94,23.03,5,600.0
2023-09-20,PSTP001,404.56,26.05,0,600.0
2023-09-21,PSTP001,406.73,23.36,0,600.0
2023-09-22,PSTP001,415.54,28.38,0,600.0
2023-09-23,PSTP001,390.69,24.4,20,600.0
2023-09-24,PSTP001,383.7,21.46,0,600.0
2023-09-25,PSTP001,388.98,24.42,0,600.0
2023-09-26,PSTP001,401.15,28.03,5,600.0
2023-09-27,PSTP001,410.59,24.52,0,600.0
2023-09-28,PSTP001,407.17,22.0,10,600.0
2023-09-29,PSTP001,399.63,20.32,0,600.0
2023-09-30,PSTP001,391.13,23.3,0,600.0
2023-10-01,PSTP001,376.88,22.78,0,600.0
2023-10-02,PSTP001,386.61,26.68,0,600.0
2023-10-03,PSTP001,407.97,22.11,0,600.0
2023-10-04,PSTP001,410.59,24.2,0,600.0
2023-10-05,PSTP001,411.04,22.86,0,600.0
2023-10-06,PSTP001,414.26,20.65,0,600.0
2023-10-07,PSTP001,409.36,23.96,0,600.0
2023-10-08,PSTP001,390.52,20.93,5,600.0
2023-10-09,PSTP001,404.34,25.33,0,600.0
2023-10-10,PSTP001,410.79,20.55,0,600.0
2023-10-11,PSTP001,414.76,23.94,0,600.0
2023-10-12,PSTP001,416.44,26.24,0,600.0
2023-10-13,PSTP001,421.89,25.25,0,600.0
2023-10-14,PSTP001,408.21,23.25,0,600.0
2023-10-15,PSTP001,398.33,25.04,0,600.0
2023-10-16,PSTP001,405.8,25.84,0,600.0
2023-10-17,PSTP001,407.52,22.07,10,600.0
2023-10-18,PSTP001,408.61,26.52,5,600.0
2023-10-19,PSTP001,409.57,26.17,0,600.0
2023-10-20,PSTP001,412.2,21.52,0,600.0
