transfer_id,source_stp_id,source_stp_name,destination_stp_id,destination_stp_name,quantity_kld,quality,water_type,distance_km,status,requested_at,accepted_at,rejected_at,tanker_status,delivered_at,offered_operator_id,offer_status,offer_sent_at,offer_expires_at,attempted_operator_ids,assigned_operator_id,assigned_operator_name,operator_distance_km,assigned_at,tankers_required
TRF-630C2CE0,PSTP011,Provident Neora,PSTP008,Purva Venezia,100.0,Gold,Treated Water,5.5,Delivered,2026-08-31T10:25:05.467001,2026-08-31T10:40:35.188524,,Delivered,2026-08-31T11:51:13.617104,,,,,,,,,,
TRF-4A36F21C,PSTP008,Purva Venezia,PSTP002,Purva Atria,50.0,Platinum,Treated Water,7.85,Delivered,2026-08-31T11:41:55.992629,2026-08-31T11:42:11.749444,,Delivered,2026-08-31T11:51:15.138941,,,,,,,,,,
TRF-E530DB2B,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,50.0,Platinum,Treated Water,7.9,Delivered,2026-08-31T16:21:17.259279,2026-08-31T16:21:27.320933,,Delivered,2026-08-31T16:23:11.003661,,,,,,,,,,
TRF-FD680058,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,20.0,Platinum,Treated Water,7.9,Delivered,2026-09-06T18:06:49.764858,2026-09-06T18:06:58.242999,,Delivered,2026-09-06T18:12:13.356891,,,,,,,,,,
TRF-1BBF1684,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,20.0,Platinum,Treated Water,7.9,Delivered,2026-09-06T18:13:02.265817,2026-09-06T18:13:17.988153,,Delivered,2026-09-08T09:19:52.267034,,,,,,,,,,
TRF-68462A2F,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,10.0,Platinum,Treated Water,7.9,Pending,2026-09-08T14:29:11.444203,,,Not Assigned,,,,,,,,,,,
TRF-E6D764D0,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,5.0,Platinum,Treated Water,7.9,Expired,2026-09-08T15:24:15.216653,2026-09-08T15:24:36.479699,,Expired,,,Expired,,,,,,,,
TRF-759873AA,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,10.0,Platinum,Treated Water,7.9,Expired,2026-09-15T10:26:24.892091,2026-09-15T10:27:01.609074,,Expired,,,Expired,,,,,,,,
TRF-9F94E4A1,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,10.0,Platinum,Treated Water,7.9,Delivered,2026-09-15T10:32:26.961387,2026-09-15T10:32:44.392140,,Delivered,2026-09-15T10:53:51.087137,OP-BLR-0004,Accepted,2026-09-15T10:32:44.608373,,,OP-BLR-0004,Kaviya U,2.47,2026-09-15T10:41:08.058823,1
TRF-33596A56,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,10.0,Platinum,Treated Water,7.9,Expired,2026-09-15T11:02:14.821811,2026-09-15T11:02:37.674251,,Expired,,,Expired,,,"OP-BLR-0004,OP-BLR-0005",,,,,1
TRF-7A0F651F,PSTP009,Purva Atmosphere,PSTP008,Purva Venezia,10.0,Platinum,Treated Water,7.9,Delivered,2026-09-15T11:13:53.552598,2026-09-15T11:14:17.559763,,Delivered,2026-09-15T14:42:43.156153,OP-BLR-0001,Accepted,2026-09-15T11:14:40.021353,,"OP-BLR-0004,OP-BLR-0005",OP-BLR-0001,MANORANJAN S,5.84,2026-09-15T11:14:59.518619,1
