seller_id,category,zone,latitude,longitude,population,water_consumption_lpd,wastewater_generated_kl,day_of_week,season
S0001,Institution,South,12.894982,77.598029,186,30201.8,24.16,4,Winter
S0002,Apartment,West,12.946241,77.48624,124,16955.75,12.89,4,Monsoon
S0003,Apartment,East,12.984045,77.688323,199,20798.07,16.64,3,Winter
S0004,Industry,West,12.977542,77.480031,476,71113.7,56.89,1,Winter
S0005,Industry,Central,12.97099,77.587278,760,107906.3,94.96,6,Summer
S0006,Institution,East,12.96558,77.671686,350,47769.96,42.04,6,Summer
S0007,Institution,South,12.904735,77.575298,323,47607.99,38.09,2,Winter
S0008,Industry,East,12.994398,77.687212,366,36988.4,32.55,0,Summer
S0009,Industry,South,12.918625,77.592336,976,98846.64,79.08,1,Winter
S0010,Institution,East,12.987369,77.677606,343,35243.62,28.19,5,Winter
S0011,Apartment,East,12.975642,77.667289,181,22613.58,18.09,5,Winter
S0012,Hospital,West,12.948318,77.502708,340,56910.15,43.25,3,Monsoon
S0013,Apartment,East,12.99758,77.695793,63,9965.45,7.97,6,Winter
S0014,Hospital,South,12.88354,77.567839,339,42722.96,34.18,4,Winter
S0015,Industry,Central,12.960854,77.60315,416,50949.5,44.84,3,Summer
S0016,Apartment,West,12.95104,77.491851,94,9960.62,7.57,6,Monsoon
S0017,Industry,East,12.976936,77.675795,847,85074.18,68.06,2,Winter
S0018,Industry,Central,12.957954,77.598454,618,99931.61,79.95,4,Winter
S0019,Institution,Central,12.987052,77.596043,107,18088.17,13.75,3,Monsoon
S0020,Institution,South,12.893236,77.562542,141,17768.07,14.21,2,Winter
S0021,Institution,Central,12.973652,77.580989,114,15706.6,13.82,4,Summer
S0022,Institution,North,13.118868,77.613957,84,12171.78,9.74,6,Winter
S0023,Institution,East,12.970243,77.661617,286,38382.14,33.78,1,Summer
S0024,Commercial,West,12.957573,77.488069,451,68061.69,59.89,3,Summer
S0025,Apartment,North,13.102531,77.607821,278,33344.26,26.68,4,Winter
S0026,Industry,North,13.101594,77.588122,724,76858.68,61.49,2,Winter
S0027,Hospital,South,12.907791,77.595219,319,52523.23,46.22,0,Summer
S0028,Institution,North,13.08422,77.598261,187,21491.09,16.33,5,Monsoon
S0029,Hospital,Central,12.985331,77.582974,497,63866.4,48.54,5,Monsoon
S0030,Hospital,Central,12.954402,77.579117,595,59524.77,52.38,4,Summer
S0031,Institution,West,12.974429,77.480278,216,29977.86,23.98,0,Winter
S0032,Industry,North,13.084795,77.593505,573,67328.15,51.17,0,Monsoon
S0033,Commercial,South,12.896153,77.562596,151,18082.26,13.74,6,Monsoon
S0034,Industry,East,12.97989,77.672035,824,148171.05,130.39,2,Summer
S0035,Hospital,East,12.984383,77.680107,203,20836.74,16.67,0,Winter
S0036,Commercial,Central,12.975374,77.597228,152,21151.75,16.08,5,Monsoon
S0037,Institution,East,12.969682,77.686885,282,36539.4,32.15,0,Summer
S0038,Industry,South,12.909129,77.574711,809,121902.04,97.52,2,Winter
S0039,Commercial,West,12.972657,77.511934,300,37698.72,28.65,5,Monsoon
S0040,Commercial,North,13.107833,77.614334,351,54126.01,43.3,2,Winter
S0041,Commercial,North,13.108446,77.61238,247,37448.61,29.96,3,Winter
S0042,Commercial,North,13.117621,77.595903,138,24141.5,19.31,0,Winter
S0043,Hospital,South,12.907028,77.589409,583,101427.71,77.09,5,Monsoon
S0044,Industry,East,12.987831,77.669142,343,56724.58,43.11,0,Monsoon
S0045,Industry,East,12.980665,77.670433,503,89148.47,78.45,4,Summer
S0046,Institution,South,12.916017,77.585324,88,10763.25,8.61,2,Winter
S0047,Industry,East,12.989038,77.695884,351,46458.59,35.31,0,Monsoon
S0048,Industry,North,13.105681,77.583366,619,106396.4,93.63,3,Summer
S0049,Apartment,South,12.903227,77.574891,266,40719.32,35.83,4,Summer
S0050,Commercial,South,12.891357,77.572215,293,45518.02,34.59,4,Monsoon
S0051,Industry,South,12.888971,77.588487,597,75241.09,57.18,3,Monsoon
S0052,Industry,East,12.974659,77.689767,394,60127.96,52.91,0,Summer
S0053,Commercial,West,12.961702,77.500353,474,56897.51,43.24,5,Monsoon
S0054,Commercial,East,12.99892,77.675724,363,54628.27,41.52,1,Monsoon
S0055,Hospital,South,12.894003,77.585804,516,71931.13,54.67,4,Monsoon
S0056,Apartment,East,12.969207,77.679968,53,5403.1,4.75,0,Summer
S0057,Apartment,Central,12.951744,77.609782,207,36497.06,27.74,4,Monsoon
S0058,Hospital,East,12.99534,77.689909,186,32413.38,25.93,0,Winter
S0059,Commercial,North,13.102111,77.602892,287,48285.1,36.7,6,Monsoon
S0060,Commercial,South,12.892228,77.567636,260,32591.98,28.68,1,Summer
S0061,Commercial,South,12.902272,77.597446,157,27381.01,20.81,5,Monsoon
S0062,Institution,East,12.963887,77.6846,230,25577.55,20.46,2,Winter
S0063,Institution,North,13.091812,77.592902,183,28504.31,25.08,2,Summer
S0064,Apartment,North,13.108356,77.602113,219,36080.01,31.75,2,Summer
S0065,Commercial,South,12.890248,77.584461,415,58476.57,44.44,0,Monsoon
S0066,Industry,North,13.105116,77.587771,975,152253.42,133.98,5,Summer
S0067,Institution,West,12.9756,77.49352,171,25018.87,19.01,6,Monsoon
S0068,Industry,South,12.906881,77.573126,897,128640.18,113.2,4,Summer
S0069,Industry,East,12.993557,77.694416,504,51905.88,41.52,5,Winter
S0070,Industry,West,12.952131,77.501483,812,115124.92,101.31,4,Summer
S0071,Hospital,East,12.970862,77.69861,252,26920.6,23.69,4,Summer
S0072,Hospital,North,13.087775,77.596454,504,76101.17,57.84,3,Monsoon
S0073,Industry,North,13.08531,77.618781,305,38380.14,30.7,0,Winter
S0074,Institution,East,12.975953,77.677341,137,14559.88,12.81,4,Summer
S0075,Commercial,East,12.967373,77.663235,226,35183.21,26.74,4,Monsoon
S0076,Commercial,South,12.882328,77.596609,338,40566.57,32.45,5,Winter
S0077,Hospital,Central,12.953755,77.577315,386,47244.36,35.91,4,Monsoon
S0078,Industry,West,12.969516,77.502174,989,156660.71,137.86,2,Summer
S0079,Apartment,West,12.949909,77.494239,278,30472.46,23.16,4,Monsoon
S0080,Institution,South,12.884643,77.56184,173,29139.57,23.31,3,Winter
S0081,Apartment,Central,12.957013,77.570686,267,37200.92,28.27,6,Monsoon
S0082,Apartment,East,12.973852,77.678587,150,19782.06,17.41,1,Summer
S0083,Hospital,North,13.117966,77.615467,329,42759.8,37.63,1,Summer
S0084,Commercial,West,12.977337,77.500042,424,65600.05,57.73,6,Summer
S0085,Institution,Central,12.98777,77.604688,239,41877.2,31.83,3,Monsoon
S0086,Hospital,West,12.955527,77.505732,566,93331.33,70.93,2,Monsoon
S0087,Hospital,South,12.917659,77.575444,566,86099.23,65.44,2,Monsoon
S0088,Hospital,North,13.087832,77.582774,244,31764.1,25.41,4,Winter
S0089,Apartment,West,12.943778,77.50732,130,19819.52,15.06,4,Monsoon
S0090,Institution,East,12.993795,77.660931,194,23774.39,18.07,3,Monsoon
S0091,Hospital,North,13.107716,77.593933,224,38124.3,28.97,3,Monsoon
S0092,Institution,Central,12.966718,77.608703,243,27749.42,22.2,0,Winter
S0093,Hospital,East,12.982741,77.683037,248,32986.33,25.07,1,Monsoon
S0094,Apartment,West,12.950001,77.503222,200,34892.12,30.71,4,Summer
S0095,Institution,Central,12.959544,77.597194,358,57410.11,45.93,0,Winter
S0096,Industry,West,12.955109,77.501373,795,132062.69,100.37,5,Monsoon
S0097,Hospital,East,12.971905,77.663999,249,25115.89,19.09,0,Monsoon
S0098,Institution,West,12.973886,77.494196,363,63889.8,48.56,3,Monsoon
S0099,Industry,Central,12.972938,77.595273,268,33086.44,29.12,0,Summer
S0100,Institution,Central,12.972148,77.578509,132,21559.07,18.97,0,Summer
S0101,Industry,South,12.884539,77.597237,385,40272.81,32.22,6,Winter
S0102,Institution,North,13.082235,77.609481,300,38421.96,33.81,1,Summer
S0103,Institution,North,13.118746,77.607521,332,55470.05,42.16,5,Monsoon
S0104,Hospital,West,12.968039,77.482911,583,99898.07,87.91,1,Summer
S0105,Institution,East,12.963254,77.663394,215,27937.46,22.35,0,Winter
S0106,Institution,North,13.115214,77.589467,296,43615.93,34.89,3,Winter
S0107,Commercial,East,12.97505,77.66334,463,66983.29,50.91,2,Monsoon
S0108,Industry,South,12.889949,77.57321,325,45308.25,36.25,4,Winter
S0109,Commercial,West,12.956208,77.502859,247,27047.84,23.8,4,Summer
S0110,Industry,North,13.112912,77.609768,586,85948.33,65.32,5,Monsoon
S0111,Industry,North,13.096009,77.599109,608,103048.66,78.32,5,Monsoon
S0112,Hospital,East,12.977453,77.692084,322,57184.08,45.75,4,Winter
S0113,Hospital,North,13.092907,77.581736,362,64956.26,57.16,4,Summer
S0114,Industry,East,12.97012,77.687816,640,90782.61,79.89,0,Summer
S0115,Institution,East,12.968672,77.67178,80,12016.37,10.57,5,Summer
S0116,Hospital,South,12.895368,77.589484,161,28448.09,22.76,5,Winter
S0117,Institution,Central,12.968226,77.594805,87,9880.97,8.7,3,Summer
S0118,Apartment,South,12.898548,77.574134,227,27529.43,22.02,4,Winter
S0119,Apartment,East,12.998976,77.699448,295,30262.66,26.63,0,Summer
S0120,Hospital,South,12.892381,77.592552,369,44898.67,34.12,4,Monsoon
S0121,Industry,Central,12.986437,77.602901,793,105731.58,80.36,4,Monsoon
S0122,Hospital,West,12.964537,77.49673,461,78431.28,62.75,2,Winter
S0123,Hospital,West,12.941809,77.481055,438,71047.18,62.52,1,Summer
S0124,Institution,Central,12.989491,77.576017,361,47100.13,41.45,5,Summer
S0125,Commercial,West,12.973167,77.502763,197,20280.31,17.85,6,Summer
